visit_id,customer_id,signup_date,visit_date,week_start_date,is_last_week_dip_period,days_since_signup,visit_number_for_customer,previous_lifetime_visits,customer_cohort,plan,acquisition_channel,primary_device,region,referrer_source,app_version,feature_area,session_duration_minutes,pages_viewed,support_ticket_created,support_ticket_reason,mobile_crash_bug_exposed,email_campaign_received,promo_exposed,churn_risk_score,retained_next_7d,retention_drop_driver_hint
VIS-FD57173F735B,CUST-00008,2025-12-21,2026-03-02,2026-03-02,0,71,1,0,Power User,Pro,Referral,iOS,South,newsletter,4.2.9,Billing,19.34,6,0,,0,0,0,25.5,1,normal_activity
VIS-FC92921A71C1,CUST-00008,2025-12-21,2026-03-05,2026-03-02,0,74,2,1,Power User,Pro,Referral,iOS,South,newsletter,4.2.9,Settings,11.05,6,0,,0,0,0,23.3,1,normal_activity
VIS-1023421FF57B,CUST-00008,2025-12-21,2026-03-03,2026-03-02,0,72,3,2,Power User,Pro,Referral,iOS,South,google,4.2.9,Search,14.36,6,1,mobile crash,0,0,0,19.5,1,normal_activity
VIS-4513D02450F2,CUST-00010,2025-09-20,2026-03-06,2026-03-02,0,167,1,0,New,Free,Email,iOS,Midwest,youtube,4.2.9,Export,6.9,3,0,,0,0,1,55.0,0,normal_activity
VIS-99291FDC9D71,CUST-00010,2025-09-20,2026-03-05,2026-03-02,0,166,2,1,New,Free,Email,iOS,Midwest,direct,4.2.9,Export,5.81,3,0,,0,0,0,67.7,1,normal_activity
VIS-02C9E14FA3E7,CUST-00010,2025-09-20,2026-03-07,2026-03-02,0,168,3,2,New,Free,Email,iOS,Midwest,instagram,4.2.9,Export,4.05,1,0,,0,1,0,62.4,1,normal_activity
VIS-9D5166E21904,CUST-00011,2025-12-12,2026-03-05,2026-03-02,0,83,1,0,Power User,Free,Paid Social,Web,Northeast,partner_site,web,Reports,7.2,1,0,,0,0,0,51.7,1,normal_activity
VIS-C6704F78B5CA,CUST-00011,2025-12-12,2026-03-03,2026-03-02,0,81,2,1,Power User,Free,Paid Social,Web,Northeast,direct,web,Billing,5.87,6,0,,0,0,0,47.8,1,normal_activity
VIS-422BEDFB5A14,CUST-00011,2025-12-12,2026-03-03,2026-03-02,0,81,3,2,Power User,Free,Paid Social,Web,Northeast,direct,web,AI Assistant,4.5,3,0,,0,0,1,34.5,1,normal_activity
VIS-CA4EC1ECD7BB,CUST-00012,2025-10-26,2026-03-04,2026-03-02,0,129,1,0,Returning,Pro,Paid Social,Android,West,partner_site,4.2.9,Dashboard,20.14,8,0,,0,0,0,48.6,1,normal_activity
VIS-7401F5BC8EC9,CUST-00015,2026-02-14,2026-03-04,2026-03-02,0,18,1,0,Returning,Basic,Paid Social,Android,West,instagram,4.2.7,AI Assistant,9.43,5,0,,0,0,0,44.0,0,normal_activity
VIS-B7666E8562B9,CUST-00016,2025-09-09,2026-03-07,2026-03-02,0,179,1,0,Returning,Basic,Email,Android,West,partner_site,4.2.9,Dashboard,13.52,3,0,,0,1,1,32.1,0,normal_activity
VIS-E965E03243F4,CUST-00016,2025-09-09,2026-03-08,2026-03-02,0,180,2,1,Returning,Basic,Email,Android,West,google,4.2.9,Export,6.24,4,0,,0,0,0,49.6,0,normal_activity
VIS-7C4BEF37B765,CUST-00018,2025-10-24,2026-03-02,2026-03-02,0,129,1,0,Power User,Pro,Direct,iOS,Northeast,partner_site,4.2.7,Dashboard,23.01,10,0,,0,0,1,16.5,1,normal_activity
VIS-68218105651E,CUST-00018,2025-10-24,2026-03-03,2026-03-02,0,130,2,1,Power User,Pro,Direct,iOS,Northeast,google,4.2.9,Integrations,18.36,7,0,,0,0,0,18.3,1,normal_activity
VIS-FAAC6291358A,CUST-00018,2025-10-24,2026-03-03,2026-03-02,0,130,3,2,Power User,Pro,Direct,iOS,Northeast,direct,4.2.9,Dashboard,13.72,5,0,,0,0,0,27.7,1,normal_activity
VIS-9E90A3338F25,CUST-00018,2025-10-24,2026-03-03,2026-03-02,0,130,4,3,Power User,Pro,Direct,iOS,Northeast,instagram,4.2.8,Export,8.8,7,0,,0,0,1,19.1,1,normal_activity
VIS-BE7F6536183E,CUST-00018,2025-10-24,2026-03-06,2026-03-02,0,133,5,4,Power User,Pro,Direct,iOS,Northeast,linkedin,4.2.9,Billing,11.48,7,0,,0,0,0,28.7,1,normal_activity
VIS-D4CF2C37635F,CUST-00018,2025-10-24,2026-03-04,2026-03-02,0,131,6,5,Power User,Pro,Direct,iOS,Northeast,instagram,4.2.7,Dashboard,18.6,7,0,,0,0,1,6.0,1,normal_activity
VIS-CBFD0E25FCC9,CUST-00018,2025-10-24,2026-03-02,2026-03-02,0,129,7,6,Power User,Pro,Direct,iOS,Northeast,partner_site,4.2.7,Search,4.59,11,0,,0,0,0,28.2,0,normal_activity
VIS-199DE76F6046,CUST-00019,2026-01-20,2026-03-03,2026-03-02,0,42,1,0,Returning,Pro,Referral,Android,West,instagram,4.2.9,AI Assistant,23.38,3,0,,0,0,1,27.4,0,normal_activity
VIS-27CF571B68E3,CUST-00019,2026-01-20,2026-03-08,2026-03-02,0,47,2,1,Returning,Pro,Referral,Android,West,youtube,4.2.8,Dashboard,3.28,6,0,,0,0,0,38.8,0,normal_activity
VIS-0C5C15B0783F,CUST-00020,2025-11-30,2026-03-02,2026-03-02,0,92,1,0,Power User,Pro,Direct,iOS,West,linkedin,4.2.9,Settings,18.05,10,0,,0,0,0,24.1,1,normal_activity
VIS-D28F5240BBA7,CUST-00020,2025-11-30,2026-03-08,2026-03-02,0,98,2,1,Power User,Pro,Direct,iOS,West,google,4.2.9,Billing,19.43,9,0,,0,0,0,25.8,0,normal_activity
VIS-6459708EB0E5,CUST-00020,2025-11-30,2026-03-07,2026-03-02,0,97,3,2,Power User,Pro,Direct,iOS,West,google,4.2.8,Dashboard,10.92,6,0,,0,0,0,24.0,0,normal_activity
VIS-2E5DFAE6F7CA,CUST-00020,2025-11-30,2026-03-03,2026-03-02,0,93,4,3,Power User,Pro,Direct,iOS,West,google,4.2.9,Settings,7.48,7,0,,0,0,1,16.0,0,normal_activity
VIS-C39C141A21BC,CUST-00021,2026-02-09,2026-03-05,2026-03-02,0,24,1,0,Returning,Pro,Partner,Web,South,direct,web,Reports,16.8,6,0,,0,0,0,34.2,1,normal_activity
VIS-ED86E2F10587,CUST-00021,2026-02-09,2026-03-02,2026-03-02,0,21,2,1,Returning,Pro,Partner,Web,South,google,web,Billing,13.88,6,0,,0,0,1,30.6,1,normal_activity
VIS-B046CB81CDA0,CUST-00021,2026-02-09,2026-03-03,2026-03-02,0,22,3,2,Returning,Pro,Partner,Web,South,youtube,web,Dashboard,19.61,10,0,,0,0,1,22.6,0,normal_activity
VIS-C992C7030130,CUST-00022,2025-10-13,2026-03-04,2026-03-02,0,142,1,0,At Risk,Basic,Organic Search,Android,International,newsletter,4.2.9,Dashboard,13.33,5,0,,0,0,0,69.0,1,normal_activity
VIS-6551BA333570,CUST-00022,2025-10-13,2026-03-06,2026-03-02,0,144,2,1,At Risk,Basic,Organic Search,Android,International,newsletter,4.2.9,AI Assistant,12.76,3,0,,0,0,0,72.0,1,normal_activity
VIS-0E55EE81CDD2,CUST-00022,2025-10-13,2026-03-07,2026-03-02,0,145,3,2,At Risk,Basic,Organic Search,Android,International,youtube,4.2.9,Integrations,7.23,5,0,,0,0,0,60.0,0,normal_activity
VIS-504EA1D37BDD,CUST-00023,2025-09-07,2026-03-05,2026-03-02,0,179,1,0,Returning,Free,Organic Search,Web,Northeast,linkedin,web,AI Assistant,5.22,3,0,,0,0,0,57.6,0,normal_activity
VIS-7FF77FEF0BD6,CUST-00026,2025-10-29,2026-03-06,2026-03-02,0,128,1,0,Returning,Free,Organic Search,Web,Northeast,newsletter,web,Search,6.9,3,0,,0,0,0,51.1,1,normal_activity
VIS-CECA3055549E,CUST-00027,2025-11-18,2026-03-08,2026-03-02,0,110,1,0,Returning,Free,Organic Search,Android,South,linkedin,4.2.9,Integrations,2.42,2,0,,0,0,1,56.0,1,normal_activity
VIS-1CED9F0586CE,CUST-00028,2025-09-11,2026-03-05,2026-03-02,0,175,1,0,Power User,Basic,Email,iOS,Northeast,linkedin,4.2.7,Integrations,10.56,6,0,,0,0,1,20.8,1,normal_activity
VIS-BDD9225805FC,CUST-00029,2026-01-12,2026-03-08,2026-03-02,0,55,1,0,New,Free,Organic Search,Android,West,google,4.2.9,Export,5.61,2,0,,0,0,0,64.5,0,normal_activity
VIS-76671D027307,CUST-00029,2026-01-12,2026-03-07,2026-03-02,0,54,2,1,New,Free,Organic Search,Android,West,google,4.2.8,Dashboard,6.32,3,0,,0,0,0,67.6,1,normal_activity
VIS-B40C27C2CADF,CUST-00029,2026-01-12,2026-03-06,2026-03-02,0,53,3,2,New,Free,Organic Search,Android,West,newsletter,4.2.7,Reports,4.87,3,0,,0,0,0,56.5,0,normal_activity
VIS-8C167B25A386,CUST-00030,2025-11-09,2026-03-02,2026-03-02,0,113,1,0,Power User,Pro,Partner,iOS,Northeast,partner_site,4.2.8,Settings,16.57,5,0,,0,0,1,22.2,1,normal_activity
VIS-A70B180C84E0,CUST-00030,2025-11-09,2026-03-08,2026-03-02,0,119,2,1,Power User,Pro,Partner,iOS,Northeast,partner_site,4.2.9,Search,16.73,13,0,,0,0,0,15.4,1,normal_activity
VIS-943BC3F2A9D5,CUST-00030,2025-11-09,2026-03-03,2026-03-02,0,114,3,2,Power User,Pro,Partner,iOS,Northeast,partner_site,4.2.9,AI Assistant,23.97,10,0,,0,0,1,5.1,1,normal_activity
VIS-7B17258655BB,CUST-00031,2026-02-07,2026-03-05,2026-03-02,0,26,1,0,Returning,Pro,Direct,iOS,South,instagram,4.2.9,Dashboard,15.86,9,0,,0,0,0,38.7,1,normal_activity
VIS-56296442FFDB,CUST-00031,2026-02-07,2026-03-03,2026-03-02,0,24,2,1,Returning,Pro,Direct,iOS,South,google,4.2.8,AI Assistant,13.97,8,0,,0,0,1,26.9,1,normal_activity
VIS-29FC20991EFF,CUST-00033,2025-09-05,2026-03-02,2026-03-02,0,178,1,0,Returning,Enterprise,Direct,Android,Northeast,partner_site,4.2.7,Dashboard,18.57,14,0,,0,0,1,25.9,0,normal_activity
VIS-B83CB814258A,CUST-00033,2025-09-05,2026-03-07,2026-03-02,0,183,2,1,Returning,Enterprise,Direct,Android,Northeast,newsletter,4.2.9,Dashboard,1.32,15,0,,0,0,0,38.6,1,normal_activity
VIS-85D70570AC45,CUST-00033,2025-09-05,2026-03-05,2026-03-02,0,181,3,2,Returning,Enterprise,Direct,Android,Northeast,youtube,4.2.8,Billing,24.53,13,0,,0,0,0,30.4,1,normal_activity
VIS-051609F4D860,CUST-00033,2025-09-05,2026-03-07,2026-03-02,0,183,4,3,Returning,Enterprise,Direct,Android,Northeast,youtube,4.2.8,Export,5.74,14,0,,0,0,0,30.2,1,normal_activity
VIS-F0571D3B5B99,CUST-00034,2026-02-16,2026-03-06,2026-03-02,0,18,1,0,Returning,Basic,Referral,Web,West,linkedin,web,Search,13.2,3,0,,0,0,0,46.5,1,normal_activity
VIS-D03020744C4A,CUST-00034,2026-02-16,2026-03-06,2026-03-02,0,18,2,1,Returning,Basic,Referral,Web,West,youtube,web,Integrations,8.2,5,0,,0,0,0,44.6,0,normal_activity
VIS-6243E607EE8A,CUST-00035,2025-10-18,2026-03-03,2026-03-02,0,136,1,0,Power User,Enterprise,Organic Search,iOS,West,instagram,4.2.7,Dashboard,18.02,12,0,,0,0,1,14.7,1,normal_activity
VIS-9CBB1387559B,CUST-00035,2025-10-18,2026-03-08,2026-03-02,0,141,2,1,Power User,Enterprise,Organic Search,iOS,West,newsletter,4.2.7,Dashboard,27.92,14,0,,0,0,0,24.8,0,normal_activity
VIS-6E53CFC7DF42,CUST-00036,2026-01-01,2026-03-04,2026-03-02,0,62,1,0,New,Enterprise,Paid Social,Android,Northeast,partner_site,4.2.8,Reports,26.26,12,0,,0,0,0,43.5,0,normal_activity
VIS-D43F301F1F43,CUST-00036,2026-01-01,2026-03-02,2026-03-02,0,60,2,1,New,Enterprise,Paid Social,Android,Northeast,newsletter,4.2.8,Search,19.89,17,0,,0,0,0,41.7,1,normal_activity
VIS-FD48005C753D,CUST-00037,2025-09-15,2026-03-05,2026-03-02,0,171,1,0,Power User,Basic,Referral,Web,West,newsletter,web,Dashboard,9.63,4,0,,0,0,0,39.9,1,normal_activity
VIS-06824EE04DF3,CUST-00037,2025-09-15,2026-03-03,2026-03-02,0,169,2,1,Power User,Basic,Referral,Web,West,google,web,Dashboard,8.2,3,0,,0,0,0,39.9,0,normal_activity
VIS-DEE75652FF89,CUST-00037,2025-09-15,2026-03-04,2026-03-02,0,170,3,2,Power User,Basic,Referral,Web,West,google,web,Dashboard,10.67,4,0,,0,0,0,42.0,1,normal_activity
VIS-7D2F811287B9,CUST-00038,2025-11-21,2026-03-05,2026-03-02,0,104,1,0,At Risk,Basic,Organic Search,Android,International,google,4.2.9,AI Assistant,8.58,4,1,mobile crash,0,0,0,66.4,1,normal_activity
VIS-2F647DE2C885,CUST-00039,2025-09-24,2026-03-07,2026-03-02,0,164,1,0,Returning,Enterprise,Direct,iOS,West,instagram,4.2.9,Dashboard,23.49,9,0,,0,0,0,22.4,0,normal_activity
VIS-6F1E98816FFC,CUST-00041,2025-09-16,2026-03-06,2026-03-02,0,171,1,0,New,Basic,Referral,Android,International,instagram,4.2.9,AI Assistant,12.52,4,0,,0,0,1,48.8,0,normal_activity
VIS-B564D09BF702,CUST-00041,2025-09-16,2026-03-07,2026-03-02,0,172,2,1,New,Basic,Referral,Android,International,google,4.2.7,Dashboard,8.77,3,0,,0,0,0,61.2,0,normal_activity
VIS-C7CE9004D5A8,CUST-00041,2025-09-16,2026-03-08,2026-03-02,0,173,3,2,New,Basic,Referral,Android,International,newsletter,4.2.7,Integrations,14.03,6,0,,0,0,0,54.5,1,normal_activity
VIS-783FD37FF614,CUST-00041,2025-09-16,2026-03-07,2026-03-02,0,172,4,3,New,Basic,Referral,Android,International,linkedin,4.2.7,AI Assistant,12.26,4,0,,0,0,1,44.3,1,normal_activity
VIS-0755541281ED,CUST-00041,2025-09-16,2026-03-07,2026-03-02,0,172,5,4,New,Basic,Referral,Android,International,partner_site,4.2.8,Reports,11.03,8,0,,0,0,1,47.9,0,normal_activity
VIS-E3F6DBB3BEF4,CUST-00042,2025-12-25,2026-03-04,2026-03-02,0,69,1,0,Returning,Free,Organic Search,Android,West,newsletter,4.2.7,Reports,3.54,5,0,,0,0,0,55.2,1,normal_activity
VIS-D2433FC9468D,CUST-00042,2025-12-25,2026-03-05,2026-03-02,0,70,2,1,Returning,Free,Organic Search,Android,West,google,4.2.9,Billing,5.59,1,0,,0,0,0,51.4,0,normal_activity
VIS-50497F86B3F2,CUST-00043,2026-01-09,2026-03-02,2026-03-02,0,52,1,0,At Risk,Pro,Email,Android,West,newsletter,4.2.8,Reports,17.16,7,0,,0,1,0,59.1,0,normal_activity
VIS-FA436ABD28ED,CUST-00043,2026-01-09,2026-03-03,2026-03-02,0,53,2,1,At Risk,Pro,Email,Android,West,newsletter,4.2.9,Settings,15.88,6,0,,0,1,0,54.7,0,normal_activity
VIS-5DBE8B7C7E27,CUST-00044,2025-09-21,2026-03-02,2026-03-02,0,162,1,0,Returning,Free,Paid Social,iOS,Midwest,google,4.2.7,Search,5.66,4,0,,0,0,0,64.3,0,normal_activity
VIS-E07BE8CE6C14,CUST-00044,2025-09-21,2026-03-05,2026-03-02,0,165,2,1,Returning,Free,Paid Social,iOS,Midwest,linkedin,4.2.9,Export,4.31,3,0,,0,0,1,46.1,1,normal_activity
VIS-7DD66051B25A,CUST-00045,2025-11-09,2026-03-03,2026-03-02,0,114,1,0,At Risk,Free,Referral,iOS,West,instagram,4.2.8,Billing,8.02,2,0,,0,0,0,79.3,0,normal_activity
VIS-2808F669964A,CUST-00045,2025-11-09,2026-03-06,2026-03-02,0,117,2,1,At Risk,Free,Referral,iOS,West,youtube,4.2.9,AI Assistant,3.89,3,0,,0,0,0,81.0,0,normal_activity
VIS-75210637415B,CUST-00046,2025-10-14,2026-03-03,2026-03-02,0,140,1,0,New,Free,Organic Search,Android,South,google,4.2.7,AI Assistant,3.27,3,0,,0,0,0,63.0,1,normal_activity
VIS-9CAD2CA09026,CUST-00047,2026-02-20,2026-03-03,2026-03-02,0,11,1,0,At Risk,Free,Direct,iOS,West,youtube,4.2.7,Dashboard,1.44,3,0,,0,0,0,86.7,1,normal_activity
VIS-67E1830C70D8,CUST-00048,2025-11-18,2026-03-02,2026-03-02,0,104,1,0,New,Basic,Direct,Web,West,google,web,AI Assistant,5.87,3,0,,0,0,0,49.5,1,normal_activity
VIS-5ADFF9AD8C06,CUST-00048,2025-11-18,2026-03-03,2026-03-02,0,105,2,1,New,Basic,Direct,Web,West,newsletter,web,Search,10.08,6,0,,0,0,0,58.4,0,normal_activity
VIS-909D0AB76C06,CUST-00048,2025-11-18,2026-03-02,2026-03-02,0,104,3,2,New,Basic,Direct,Web,West,newsletter,web,Dashboard,4.6,5,1,login issue,0,0,0,59.9,1,normal_activity
VIS-E0DD3C97A778,CUST-00049,2026-01-16,2026-03-03,2026-03-02,0,46,1,0,At Risk,Free,Direct,Web,South,direct,web,Search,4.1,3,0,,0,0,0,78.0,0,normal_activity
VIS-A98A7113EA83,CUST-00050,2025-12-29,2026-03-07,2026-03-02,0,68,1,0,Power User,Pro,Paid Social,iOS,Midwest,google,4.2.9,Export,8.82,7,0,,0,0,1,11.9,1,normal_activity
VIS-BFC04FB32987,CUST-00051,2025-11-05,2026-03-03,2026-03-02,0,118,1,0,Power User,Pro,Paid Social,Web,West,direct,web,Export,23.43,6,0,,0,0,0,23.7,1,normal_activity
VIS-1C5A8F260893,CUST-00051,2025-11-05,2026-03-05,2026-03-02,0,120,2,1,Power User,Pro,Paid Social,Web,West,direct,web,Export,18.27,12,0,,0,0,0,31.3,0,normal_activity
VIS-BBAC5330919F,CUST-00051,2025-11-05,2026-03-04,2026-03-02,0,119,3,2,Power User,Pro,Paid Social,Web,West,instagram,web,Reports,20.61,7,0,,0,0,1,12.2,1,normal_activity
VIS-EFE30DC71262,CUST-00051,2025-11-05,2026-03-08,2026-03-02,0,123,4,3,Power User,Pro,Paid Social,Web,West,google,web,Search,12.4,9,0,,0,0,0,24.9,0,normal_activity
VIS-688072BB1D10,CUST-00052,2025-12-21,2026-03-02,2026-03-02,0,71,1,0,Returning,Enterprise,Direct,iOS,Northeast,linkedin,4.2.9,Dashboard,13.07,11,0,,0,0,0,37.5,1,normal_activity
VIS-EB3E315094CC,CUST-00052,2025-12-21,2026-03-08,2026-03-02,0,77,2,1,Returning,Enterprise,Direct,iOS,Northeast,instagram,4.2.9,AI Assistant,18.99,8,0,,0,0,1,27.4,1,normal_activity
VIS-B2F301A6E9BF,CUST-00052,2025-12-21,2026-03-06,2026-03-02,0,75,3,2,Returning,Enterprise,Direct,iOS,Northeast,direct,4.2.9,Integrations,22.58,9,0,,0,0,0,20.6,1,normal_activity
VIS-65364CC1F041,CUST-00052,2025-12-21,2026-03-07,2026-03-02,0,76,4,3,Returning,Enterprise,Direct,iOS,Northeast,google,4.2.9,Integrations,18.02,12,0,,0,0,0,36.8,1,normal_activity
VIS-1FCF1D2E247A,CUST-00052,2025-12-21,2026-03-05,2026-03-02,0,74,5,4,Returning,Enterprise,Direct,iOS,Northeast,google,4.2.9,AI Assistant,19.55,8,0,,0,0,0,28.9,0,normal_activity
VIS-C57A2D5FD2BF,CUST-00052,2025-12-21,2026-03-05,2026-03-02,0,74,6,5,Returning,Enterprise,Direct,iOS,Northeast,youtube,4.2.9,Dashboard,32.42,6,0,,0,0,0,32.0,1,normal_activity
VIS-819590EE1312,CUST-00053,2025-10-16,2026-03-08,2026-03-02,0,143,1,0,Returning,Free,Paid Social,Web,West,newsletter,web,Dashboard,6.4,3,0,,0,0,0,52.2,1,normal_activity
VIS-B0DD58E276B0,CUST-00054,2026-02-21,2026-03-08,2026-03-02,0,15,1,0,Returning,Free,Organic Search,Web,West,newsletter,web,Dashboard,6.65,3,0,,0,0,0,54.6,1,normal_activity
VIS-726C26C0C1E2,CUST-00056,2025-09-08,2026-03-02,2026-03-02,0,175,1,0,New,Basic,Email,Android,South,direct,4.2.7,Dashboard,13.31,7,0,,0,0,0,63.8,1,normal_activity
VIS-10F0296E5F8D,CUST-00056,2025-09-08,2026-03-08,2026-03-02,0,181,2,1,New,Basic,Email,Android,South,newsletter,4.2.7,Integrations,7.41,5,0,,0,1,1,54.1,0,normal_activity
VIS-39DB2A81EFB8,CUST-00057,2025-12-08,2026-03-07,2026-03-02,0,89,1,0,Returning,Basic,Email,iOS,Midwest,youtube,4.2.9,Export,3.7,7,0,,0,1,0,47.6,1,normal_activity
VIS-6E47080491BF,CUST-00057,2025-12-08,2026-03-08,2026-03-02,0,90,2,1,Returning,Basic,Email,iOS,Midwest,newsletter,4.2.9,Dashboard,12.28,5,0,,0,0,0,42.4,0,normal_activity
VIS-4140C7D072FF,CUST-00057,2025-12-08,2026-03-02,2026-03-02,0,84,3,2,Returning,Basic,Email,iOS,Midwest,youtube,4.2.9,Export,9.62,3,0,,0,0,0,57.5,0,normal_activity
VIS-EF8551E83EA5,CUST-00060,2025-10-05,2026-03-06,2026-03-02,0,152,1,0,Returning,Free,Email,Android,Northeast,google,4.2.9,AI Assistant,3.99,1,0,,0,1,1,44.7,1,normal_activity
VIS-28A00A079C43,CUST-00063,2026-02-12,2026-03-06,2026-03-02,0,22,1,0,Returning,Pro,Referral,Android,Northeast,google,4.2.9,Dashboard,15.61,5,0,,0,0,0,37.9,1,normal_activity
VIS-D190DA7B6061,CUST-00063,2026-02-12,2026-03-02,2026-03-02,0,18,2,1,Returning,Pro,Referral,Android,Northeast,partner_site,4.2.8,AI Assistant,13.55,10,0,,0,0,0,31.9,1,normal_activity
VIS-629636D28626,CUST-00065,2026-01-16,2026-03-02,2026-03-02,0,45,1,0,At Risk,Basic,Partner,Android,Northeast,newsletter,4.2.8,Export,9.13,4,0,,0,0,0,80.2,0,normal_activity
VIS-49BFCF43F95D,CUST-00067,2025-09-27,2026-03-04,2026-03-02,0,158,1,0,Returning,Pro,Partner,Android,Midwest,partner_site,4.2.8,Billing,18.36,8,0,,0,0,0,37.3,0,normal_activity
VIS-8542D6A465C9,CUST-00067,2025-09-27,2026-03-03,2026-03-02,0,157,2,1,Returning,Pro,Partner,Android,Midwest,newsletter,4.2.9,Settings,4.75,6,0,,0,0,0,42.0,0,normal_activity
VIS-8553AA945D42,CUST-00067,2025-09-27,2026-03-04,2026-03-02,0,158,3,2,Returning,Pro,Partner,Android,Midwest,youtube,4.2.9,Dashboard,19.24,11,0,,0,0,0,36.2,1,normal_activity
VIS-EEEE12A5F931,CUST-00068,2025-11-01,2026-03-02,2026-03-02,0,121,1,0,Power User,Pro,Referral,Web,West,google,web,Dashboard,15.04,9,0,,0,0,0,19.8,1,normal_activity
VIS-DB8A9C452A34,CUST-00070,2026-01-26,2026-03-04,2026-03-02,0,37,1,0,Returning,Free,Organic Search,iOS,West,youtube,4.2.7,Search,5.77,3,0,,0,0,0,64.7,0,normal_activity
VIS-248BDDA3767B,CUST-00071,2025-11-03,2026-03-07,2026-03-02,0,124,1,0,Returning,Free,Paid Social,Android,Midwest,direct,4.2.8,Search,3.71,3,0,,0,0,1,67.7,1,normal_activity
VIS-9642551100F2,CUST-00071,2025-11-03,2026-03-07,2026-03-02,0,124,2,1,Returning,Free,Paid Social,Android,Midwest,direct,4.2.8,Search,10.0,4,0,,0,0,0,56.1,1,normal_activity
VIS-C5451739A867,CUST-00071,2025-11-03,2026-03-05,2026-03-02,0,122,3,2,Returning,Free,Paid Social,Android,Midwest,instagram,4.2.7,Search,8.92,3,0,,0,0,0,53.9,0,normal_activity
VIS-0F819AD6D0FA,CUST-00073,2025-11-15,2026-03-05,2026-03-02,0,110,1,0,Returning,Basic,Referral,Web,Midwest,direct,web,Dashboard,8.13,5,0,,0,0,0,52.6,0,normal_activity
VIS-72BBD76D4D17,CUST-00073,2025-11-15,2026-03-04,2026-03-02,0,109,2,1,Returning,Basic,Referral,Web,Midwest,google,web,Integrations,12.8,4,0,,0,0,0,51.1,1,normal_activity
VIS-EFA62DF967AB,CUST-00073,2025-11-15,2026-03-03,2026-03-02,0,108,3,2,Returning,Basic,Referral,Web,Midwest,instagram,web,Reports,11.54,5,0,,0,0,0,50.2,0,normal_activity
VIS-E9CDB77A2333,CUST-00074,2025-10-29,2026-03-06,2026-03-02,0,128,1,0,New,Free,Organic Search,Android,South,linkedin,4.2.9,AI Assistant,6.01,3,0,,0,0,1,59.9,1,normal_activity
VIS-070C5DAAB092,CUST-00074,2025-10-29,2026-03-02,2026-03-02,0,124,2,1,New,Free,Organic Search,Android,South,instagram,4.2.9,Settings,4.57,2,0,,0,0,0,64.9,1,normal_activity
VIS-81F7CD9CFCEB,CUST-00076,2025-11-13,2026-03-03,2026-03-02,0,110,1,0,New,Free,Organic Search,iOS,South,partner_site,4.2.8,Dashboard,7.78,2,0,,0,0,0,64.6,0,normal_activity
